
Size 14

Refer to image for size info

Envelope shows storage wear and crumpling, opened to one side.",2999,12334105,2016-01-11 10:37:09 UTC,1995-03-19 10:02:43 UTC
263396255,Cache cache à la plage,"Acrylique sur toile exécutée en 2011
Format : 46 x 55 cm
Toile sur châssis en bois - non encadré
Artiste : Flavien Couche - Artiste côté Akoun

TABLEAU VENDU AVEC FACTURE ET CERTIFICAT D&#39;AUTHETICITE

www.flavien-couche.com",14900,12334195,2016-01-11 11:30:36 UTC,1998-09-11 21:34:04 UTC
263396279,"Eule - Topflappen, handgehäkelt, Paar","Handgerfertigete Topflappen in Form einer Eule. Die Topflappen wurden aus Wolle gehäkelt. Als Augen wurden Knöpfe verwendet.

Der Verkauf erfolgt paarweise.

Handmade in Germany


One Size

Please refer to image of the reverse side of the item for detailed info.

Pattern and envelope is well kept and intact.",999,12334105,2016-01-11 10:37:09 UTC,1973-02-23 00:23:54 UTC
263500620,2016 Astrology Guide,"The 2016 Celestial Spheres Sky Journal is an A5, easy to carry, daily and monthly astrology guide and calendar. The booklet features exquisite design and high-end custom publishing with illustrations from an 1820&#39;s astronomy textbook.

Cycles of time constantly unfold as the Sun, the Moon and the planets travel through the zodiac. Make notes using this simple and practical guide, as you follow their divinely scripted pathway through the celestial realms.

A guide to planetary symbolism, Moon cycles, Moon signs, void Moon and retrograde planets. Each month is displayed listing the daily position of the Sun and the Moon, the Full, New and Quarter Moon days, eclipses and retrograde planetary stations. Space is provided to jot down your own notes and observations.

When observing planetary cycles, you are tuning in to a beautiful, organic and ancient wisdom.

Included in the monthly calendar pages~

lease refer to image for detailed info regarding sizes.

Envelope has signs of storage wear and tear.",999,12334105,2016-01-11 10:37:09 UTC,1988-03-25 05:12:26 UTC
263501436,Pen and clock set,"Hand crafted wood pen and clock made from T Tree.
Various other woods available.

Red gum (SA)
Swan red gum (WA)
Blackwood (TAS)
Acacia (NT)
Forest red gum (TAS)
T Tree (TAS)

Other woods available on request

All pens are hand crafted and treated with local bees wax. These pens make great presents I can also have names etc lazier engraved for an extra $10.",6000,12334257,2016-01-11 11:44:00 UTC,1991-09-14 14:41:53 UTC
263501476,Jour de baignade,"Acrylique sur toile exécutée en 2015
Format : 38 x 55 cm
Toile sur châssis en bois - non encadré
Artiste : Flavien Couche - Artiste côté Akoun


Due to the handmade nature of our products, there may be a slight variation in the coloring or burn time of your candle. We strive to make all of our candles with highest quality materials and utmost care.",495,12334727,2016-01-11 17:12:39 UTC,1991-07-08 10:42:59 UTC
263409279,Adidas FX 10 Fußballschuh,Adidas FX 10 mit der FX Stollentechnologie. Hergestellt ab dem Jahr 1987.,5000,12334123,2016-01-11 14:06:41 UTC,2008-04-13 23:11:10 UTC
263409419,Adidas FX 100 Fußballschuh,Adidas FX 100 mit der FX Stollentechnologie. Hergestellt ab dem Jahr 1987.,10000,12334123,2016-01-11 14:08:11 UTC,1975-02-11 14:31:06 UTC
263409477,Adidas Penarol Fußballschuh,Adidas Penarol mit Schraubstollen inkl. der Originalverpackung. Hergestellt ab dem Jahr 1987.,15000,12334123,2016-01-11 14:08:56 UTC,1970-02-17 22:40:35 UTC
263409515,Adorable handmade star flower out of tailor measure tapa,"Beautiful hand made star flower out of tailor measure tape and love.

I never repeat my items unless upon request so they are unique! Perfect as ice breaking conversations :-)

 White, green and yellow measure soft tape mixed, ideal for a romantic date, an afternoon in the center or a night out.

Will go great with any coat or jacket or to close your scarf!

Materials: felt, Fiberglas tailor measure tape, ornaments and magic.

Order upon request. The one in the picture is in stock.",11000,12334613,2016-01-11 14:40:18 UTC,2011-08-23 07:30:15 UTC
263409547,Adidas Stratos SL Fußballschuh,Adidas Stratos SL mit Schraubstollen inkl. der Originalverpackung. Hergestellt ab dem Jahr 1988.,15000,12334123,2016-01-11 14:09:38 UTC,2002-03-16 12:35:27 UTC
263409605,Adidas FN Tech 300 Fußballschuh,Adidas FN Tech 300 mit der FN Tech Sohle. Hergestellt ab dem Jahr 1988.,7500,12334123,2016-01-11 14:10:28 UTC,1999-06-15 10:30:15 UTC
263409633,Fantasy,This painting has spray paint as the only medium - entirely hand painted. Any variations can be made including size alterations or color changes.,3500,12334783,2016-01-11 14:15:32 UTC,1971-03-12 20:51:57 UTC
263409671,Adidas JL 2000 Fußballschuh,Adidas JL 2000 mit der Tausendfüssler-Sohle. Hergestellt ab dem Jahr 1989.,7500,12334123,2016-01-11 14:11:10 UTC,1973-12-14 09:43:05 UTC
263409753,Cocktail Dress Taffeta Dany,"Evening dress with black velvet, stretch with a taffeta green skirt.
Can be made to measure, on client request.",7500,12334299,2016-01-11 15:08:56 UTC,1976-04-23 17:52:49 UTC
263409769,Cleo - Egyptian Amber,"&quot;Cleo&quot; - Egyptian Amber Scent.
Hand Wicked and Hand Poured, Small Batch Candles.
Natural Soy Wax.
Natural Wick.
Reusable Tin Container.
Available in two sizes: 8 oz or 4 oz.
8 oz. Burn Time: 30-32 hours
4 oz. Burn Time: 15 hours

Due to the handmade nature of our products, there may be a slight variation in the coloring or burn time of your candle. We strive to make all of our candles with highest quality materials and utmost care.",795,12334727,2016-01-11 17:12:38 UTC,1990-05-18 04:58:01 UTC
263409979,small shallow bowl two tone,"A small, unique, wonky bowl glazed with green and blue colours in a &#39;dribbled&#39; effect.
Completely one off bowl made from smooth stoneware clay.
11cm diameter
5.5cm height
base 5.5cm diameter",1000,12334609,2016-01-11 14:14:45 UTC,1996-06-09 02:59:53 UTC
263410021,I Love You to the Moon and Back,8x11 hand painted canvas,1500,12334112,2016-01-11 14:23:09 UTC,1998-01-17 02:10:23 UTC
263410155,Sweet hand made star out of tailor measure tape,"Beautiful hand made star out of tailor measure tape and love.
Cheers,
Fir",15000,12334113,2016-01-11 18:30:35 UTC,1972-07-30 18:08:53 UTC
263400233,Engraved Stainless Steel Money Clip For Men,"This polished stainless steel money clip is one solid piece of metal, folded into a firm french fold grip.  It is coated in sterling silver and polished to a high shine. It can be personalized with custom engraving on the front, up to three lines.  The clip comes packaged in a gift box and ships within one business day of your order being placed.

&lt;UL&gt;&lt;LI&gt;Polished money clip
&lt;LI&gt;French fold money clip holds holds up to 15 bills
&lt;LI&gt;Free engraving
&lt;LI&gt;Packaged in gift box
&lt;LI&gt;Dimensions: 2&quot; x 3/4&quot; x 1/4&quot;",3700,12334423,2016-01-11 11:35:10 UTC,2003-09-02 07:16:09 UTC
263400237,"Peinture sur bois - couleurs, carré - 50 x 50 cm","peinture sur bois
originale, signée et datée
issu du projet &quot;coulures&quot;

Support : bois
